Id,Name,Name (Bangla),Code,Agency,Type,Division,District,City Corporation,Upazila,Paurasava,Union,Private
38901,The New Al Habib Diagnostic Center,দ্যা নিউ আল হাবিব ডায়গনষ্টিক সেন্টার,10039313,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Muradnagar,,,1
38902,Appolo General Hospital,এ্যাপোলো  জেনারেল হসৃপিটাল,10039314,,Consultancy & Diagnostic Center,Rajshahi,Sirajganj,,Shahjadpur,,,1
38903,Healthy-Life Clinic & Diagnostic Ltd.,হেলদী-লাইফ ক্লিনিক এন্ড ডায়াগনস্টিক লিঃ,10039315,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Kafrul,,,1
38904,Nilphamari Diabetic Somity Hospital,নীলফামারী ডায়াবেটিক সমিতি হাসপাতাল,10039316,,Consultancy & Diagnostic Center,Rangpur,Nilphamari,,Nilphamari Sadar,,,1
38905,Green Life Hospital,গ্রীণ লাইফ হাসপাতাল,10039317,,Consultancy & Diagnostic Center,Chattogram,Noakhali,,Begumganj,,,1
38906,New National Diagnostic Center,নিউ ন্যাশনাল ডায়াগনষ্টিক সেন্টার,10039318,,Consultancy & Diagnostic Center,Khulna,Jhenaidah,,Jhenaidah Sadar,,,1
38907,SHAFI DIAGNOSTIC CENTER,শাফি  ডায়াগনোস্টিক সেন্টার,10039319,,Consultancy & Diagnostic Center,Mymensingh,Mymensingh,,Fulbaria,,,1
38908,New Al-Hera Diagnostic Centre,নিউ আল-হেরা ডায়াগনস্টিক সেন্টার,10039320,,Consultancy & Diagnostic Center,Dhaka,Gazipur,,Gazipur Sadar,,,1
38909,MAYA DIAGNOSTIC & ULTRASONOGRAPHY CENTRE,মায়া ডায়াগনস্টিক অ্যান্ড আল্ট্রাসনোগ্রাফি সেন্টার,10039321,,Consultancy & Diagnostic Center,Barishal,Pirojpur,,Mathbaria,,,1
38910,Al Mahmud Medical Center,আল মাহমুদ মেডিকেল সেন্টার,10039322,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Bhatara,,,1
38911,DOMAR POPULAR HOSPITAL & DIAGNOSTIC CENTER,ডোমার পপুলার হসপিটাল এন্ড ডায়াগনস্টিক সেন্টার,10039323,,Consultancy & Diagnostic Center,Rangpur,Nilphamari,,Domar,,,1
38912,VASHANTEK CLINIC & DIAGNOSTIC CENTRE,ভাষানটেক ক্লিনিক এন্ড ডায়াগনষ্টিক সেন্টার,10039324,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Cantonment,,,1
38913,ASHRAF ALI HOSPITAL BANGLADESH,আশ্রাফ আলী হাসপাতাল বাংলাদেশ,10039325,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Demra,,,1
38914,Ayaz Medical Center,আয়াজ মেডিকেল সেন্টার,10039326,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Kafrul,,,1
38915,ROWMARI GENERAL HOSPITAL & DIAGNOSTIC CENTER,রৌমারী জেনারেল হাসপাতাল এন্ড ডায়াগনষ্টিক সেন্টার,10039327,,Consultancy & Diagnostic Center,Rangpur,Kurigram,,Raumari,,,1
38916,Comfort Medical Services Golapganj,কমফোর্ট মেডিকেল সার্ভিসেস গোলাপগঞ্জ,10039328,,Consultancy & Diagnostic Center,Sylhet,Sylhet,,Golapganj,,,1
38917,New Life Outreach Clinic and Diagnostic Centre,নিউ লাইফ আউটরিচ ক্লিনিক এন্ড  ডায়াগনস্টিক সেন্টার,10039329,,Consultancy & Diagnostic Center,Khulna,Jashore,,Jashore Sadar,,,1
38918,"Ibn Sina Diagnosnostic & Consultation Center, Rajshahi.","ইবনে সিনা ডায়াগনোস্টিক এন্ড কনসালটেশন সেন্টার,রাজশাহী",10039330,,Consultancy & Diagnostic Center,Rajshahi,Rajshahi,,Rajpara,,,1
38919,SOFIA MOJAHER HEALTH CARE,সুফিয়া মোজাহের হেলথ কেয়ার,10039331,,Consultancy & Diagnostic Center,Chattogram,Cox's Bazar,,Maheshkhali,,,1
38920,Doctors Chamber & Diagnostic Center,ডক্টর’স চেম্বার এন্ড ডায়াগনস্টিক সেন্টার,10039332,,Consultancy & Diagnostic Center,Rangpur,Gaibandha,,Fulchhari,,,1
38921,TITAS GENERAL HOSPITAL,তিতাস জেনারেল হাসপাতাল,10039333,,Consultancy & Diagnostic Center,Sylhet,Habiganj,,Madhabpur,,,1
38922,Future Digital Diagnostic Center.,ফিউচার ডিজিটাল ডায়াগনষ্টিক সেন্টার.,10039334,,Consultancy & Diagnostic Center,Rangpur,Rangpur,,Rangpur Sadar,,,1
38923,Shouq Medical Point,সওক মেডিকেল পয়েন্ট।,10039335,,Consultancy & Diagnostic Center,Chattogram,Cox's Bazar,,Cox's Bazar Sadar,,,1
38924,Dupchanchia Islamia Hospital & Diagnostic Center,দুপচাঁচিয়া  ইসলামিয়া হসপিটাল এন্ড ডায়াগনস্টিক সেন্টার,10039336,,Consultancy & Diagnostic Center,Rajshahi,Bogura,,Dhupchanchia,,,1
38925,BHAIRAB NEW LIFE MEDICAL CENTER,ভৈরব নিউ লাইফ মেডিকেল সেন্টার,10039337,,Consultancy & Diagnostic Center,Dhaka,Kishoreganj,,Bhairab,,,1
38926,Al Madina Clinic & Hospital,আল-মদিনা ক্লিনিক এন্ড হসপিটাল,10039338,,Consultancy & Diagnostic Center,Dhaka,Tangail,,Ghatail,,,1
38927,Bandhon Digital Diagnostic Centre & Hospital,বন্ধন ডিজিটাল ডায়াগনষ্টিক সেন্টার এন্ড হাসপাতাল,10039339,,Consultancy & Diagnostic Center,Dhaka,Manikganj,,Manikganj Sadar,,,1
38928,Tabuk Medical Center,তাবুক মেডিকেল সেন্টার,10039340,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Cumilla Sadar Dakshin,,,1
38929,.SOTOTA DIAGNOSTIC CENTER,.সততা ডায়াগনস্টিক সেন্টার,10039341,,Consultancy & Diagnostic Center,Khulna,Jashore,,Chaugacha,,,1
38930,Sawad Digital Diagnostic Center,সাওয়াদ ডিজিটাল ডায়গনোষ্টিক সেন্টার,10039342,,Consultancy & Diagnostic Center,Mymensingh,Mymensingh,,Tarakanda,,,1
38931,Doctors lab and diabetic care center,Nasima Khatun,10039343,,Consultancy & Diagnostic Center,Rajshahi,Naogaon,,Sapahar,,,1
38932,New Al Aksa Diagnostic  Center & Blood Bank,নিউ আল আকসা ডায়াগনস্টিক সেন্টার এন্ড ব্লাড ব্যাংক,10039344,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Mugda Para,,,1
38933,Betagi Square Hospital & Diagnostic Center,বেতাগী স্কয়ার হাসপাতাল এন্ড ডায়গনষ্টিক সেন্টার,10039345,,Consultancy & Diagnostic Center,Barishal,Barguna,,Betagi,,,1
38934,Al Madina Health Care & Diagnostic Center,আল মদিনা হেলথ কেয়ার এন্ড ডায়াগনষ্টিক সেন্টার,10039346,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Daudkandi,,,1
38935,Bir e Shifa Hospital,বীর এ শীফা হাসপাতাল,10039347,,Consultancy & Diagnostic Center,Dhaka,Gazipur,,Sreepur,,,1
38936,Mediplus Diagnostic Center,মেডিপ্লাস ডায়াগনষ্টিক সেন্টার,10039348,,Consultancy & Diagnostic Center,Khulna,Jhenaidah,,Jhenaidah Sadar,,,1
38937,New Karama Medical Services,নিউ কারামা মেডিকেল সার্ভিসেস,10039349,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Dhanmondi,,,1
38938,PROBE Bangladesh Ltd (Advanced Diagnostic & Clinical Research Laboratory),প্রোব বাংলাদেশ লিমিটেড (এডভান্সড ডায়াগনস্টিক এন্ড ক্লিনিক্যাল রিসার্চ ল্যাবরেটরি),10039350,,Consultancy & Diagnostic Center,Khulna,Khulna,,Sonadanga,,,1
38939,CRP Consultation & Diagnostic Ltd.,সিআরপি কনসালটেশন এন্ড ডায়াগনস্টিক লিঃ,10039351,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Bhatara,,,1
38940,Medino Healthcare,মেডিনো হেলথকেয়ার,10039352,,Consultancy & Diagnostic Center,Barishal,Pirojpur,,Bhandaria,,,1
38941,Tisha Diagnostic Center,তিশা ডায়াগনস্টিক সেন্টার,10039353,,Consultancy & Diagnostic Center,Barishal,Patuakhali,,Patuakhali Sadar,,,1
38942,Lab Quest Ltd,ল্যাব কোয়েস্ট লিঃ,10039354,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Badda,,,1
38943,Fariha Hospital & Diagnostic Centre,ফারিহা  হাসপাতাল এন্ড ডায়াগনষ্টিক সেন্টার,10039355,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Kadamtali,,,1
38944,Abdul Alim Memorial Diagnostic Center,আব্দুল আলীম মেমোরিয়াল ডায়াগনষ্টিক সেন্টার,10039356,,Consultancy & Diagnostic Center,Khulna,Jhenaidah,,Harinakunda,,,1
38945,RAOZAN DIAGNOSTIC CENTER,রাউজান ডায়াগনষ্টিক  সেন্টার,10039357,,Consultancy & Diagnostic Center,Chattogram,Chattogram,,Raozan,,,1
38946,.IMPERIAL PRIVATE HEALTH CARE (BD) LIMITED,ইম্পেরিয়াল প্রাইভেট হেলথ কেয়ার (বিডি) লিমিটেড,10039358,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Shahbag,,,1
38947,New Ad-Deen Mother and Child Hospital and Diagnostics,নিউ আদ-দ্বীন মা ও শিশু হাসপাতাল এন্ড ডায়াগনস্টিক,10039359,,Consultancy & Diagnostic Center,Barishal,Bhola,,Charfession,,,1
38948,Banskhali Ekushey Hospital (Pvt.)Ltd.,বাশঁখালী এখুশে হসপিটাল (প্রাঃ)লিঃ,10039360,,Consultancy & Diagnostic Center,Chattogram,Chattogram,,Banshkhali,,,1
38949,SOUTH VISION DIAGNOSTIC CENTER,সাউথ ভিশন ডায়াগনষ্টিক সেন্টার,10039361,,Consultancy & Diagnostic Center,Barishal,Barishal,,Hizla,,,1
38950,SHOMSHER DIAGNOSTIC CENTER,শমসের ডায়াগনষ্টিক সেন্টার,10039362,,Consultancy & Diagnostic Center,Rajshahi,Naogaon,,Niamatpur,,,1
38951,POPULAR DIAGNOSTIC CENTER,পপুলার ডায়াগনস্টিক সেন্টার,10039363,,Consultancy & Diagnostic Center,Barishal,Pirojpur,,Mathbaria,,,1
38952,Shelter Point Medical Center Ltd,শেল্টার পয়েন্ট মেডিকেল সেন্টার লিঃ,10039364,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Kalabagan,,,1
38953,New Modern Diagnostic Centre,নিউ মডার্ণ ডায়গনষ্টিক সেন্টার,10039365,,Consultancy & Diagnostic Center,Barishal,Barguna,,Taltali,,,1
38954,Green Life Medical Center,গ্রীন লাইফ মেডিকেল সেন্টার,10039366,,Consultancy & Diagnostic Center,Rajshahi,Pabna,,Pabna Sadar,,,1
38955,CARE MEDICAL AND DIAGNOSTIC CENTER,কেয়ার মেডিকেল এন্ড ডায়াগনষ্টিক সেন্টার,10039367,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Daudkandi,,,1
38956,"Labaid Limited (Diagnostics & Medical Checkup Center), Rajshahi.","ল্যাবএইড লিমিটেড (ডায়াগনস্টিকস এন্ড মেডিকেল চেক্আপ সেন্টার), রাজশাহী।",10039368,,Consultancy & Diagnostic Center,Rajshahi,Rajshahi,,Rajpara,,,1
38957,BANSKHALI GENERAL HOSPITAL LIMITED,বাশঁখালী জেনারেল হাসপাতাল লিমিটেড,10039369,,Consultancy & Diagnostic Center,Chattogram,Chattogram,,Banshkhali,,,1
38958,Mohammad ali Clinic & Diagnostic Center,মোহাম্মদ আলী ক্লিনিক এন্ড ডায়াগনস্টিক  সেন্টার,10039370,,Consultancy & Diagnostic Center,Khulna,Jashore,,Jhikargacha,,,1
38959,DOCTORS LAB & DIAGNOSTIC CENTER,ডক্টরস্ ল্যাব এন্ড ডায়াগনস্টিক সেন্টার,10039371,,Consultancy & Diagnostic Center,Chattogram,Lakshmipur,,Ramgati,,,1
38960,Satkhira City Hospital & Diagnostic,সাতক্ষীরা সিটি হাসপাতাল এন্ড ডায়াগনস্টিক,10039372,,Consultancy & Diagnostic Center,Khulna,Satkhira,,Satkhira Sadar,,,1
38961,MEDI HEALTH MEDICAL CENTER,মেডি হেলথ মেডিকেল সেন্টার,10039373,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Cumilla Adarsha Sadar,,,1
38962,Ammar Medical Centre,আম্মার মেডিকেল সেন্টার,10039374,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Dhanmondi,,,1
38963,PRIME HEALTH CENTRE,প্রাইম হেলথ সেন্টার,10039375,,Consultancy & Diagnostic Center,Chattogram,Chattogram,,Banshkhali,,,1
38964,Max Medical Center,ম্যাক্স মেডিকেল সেন্টার,10039376,,Consultancy & Diagnostic Center,Chattogram,Cox's Bazar,,Cox's Bazar Sadar,,,1
38965,HOPE AND HEALTH DIAGNOSTIC CENTER,হোপ এন্ড হেলথ ডায়াগনষ্টিক সেন্টার,10039377,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Keraniganj,,,1
38966,The United Specialized Hospital,দি ইউনাইটেড স্পেশালাইজড হসপিটাল,10039378,,Consultancy & Diagnostic Center,Barishal,Barguna,,Amtali,,,1
38967,Health City Plus Diagnostic Centre,হেলথ্ সিটি প্লাস ডায়াগনস্টিক সেন্টার,10039379,,Consultancy & Diagnostic Center,Rangpur,Gaibandha,,Gaibandha Sadar,,,1
38968,FENI UNITED MEDICAL CENTER,ফেনী ইউনাইটেড মেডিকেল সেন্টার,10039380,,Consultancy & Diagnostic Center,Chattogram,Feni,,Feni Sadar,,,1
38969,ALLIED MOTHER & CHILD SPECIALIZED HOSPITAL LTD.,অ্যালাইড মাদার এন্ড চাইল্ড স্পেশালাইজড হসপিটাল লিঃ,10039381,,Consultancy & Diagnostic Center,Dhaka,Narayanganj,,Narayanganj Sadar,,,1
38970,Doctors Lab Digital Diagnostic Center,ডক্টরস ল্যাব ডিজিটাল ডায়াগনস্টিক সেন্টার,10039382,,Consultancy & Diagnostic Center,Khulna,Kushtia,,Daulatpur,,,1
38971,AL-NAHIYAN DIAGNOSTIC & MEDICAL SERVICES,আল-নাহিয়ান ডায়াগনষ্টিক এন্ড মেডিকেল সার্ভিস,10039383,,Consultancy & Diagnostic Center,Rajshahi,Rajshahi,,Boalia,,,1
38972,EchoLab Medical Services,ইকোল্যাব মেডিকেল সার্ভিসেস,10039384,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Paltan,,,1
38973,DIGILAB MEDICAL SERVICES LTD,ডিজিল্যাব মেডিকেল সার্ভিসেস লি.,10039385,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Badda,,,1
38974,Takwa Hospital Limited,তাক্বওয়া হসপিটাল লিমিটটেড,10039386,,Consultancy & Diagnostic Center,Chattogram,Brahmanbaria,,Brahmanbaria Sadar,,,1
38975,JANATA DIAGNOSTIC CENTER.,জনতা ডায়াগনস্টিক সেন্টার,10039387,,Consultancy & Diagnostic Center,Rangpur,Rangpur,,Badarganj,,,1
38976,MediLife Diagnostic & Consultation Center,মেডিলাইফ ডায়গনস্টিক এন্ড  কনসাল্টেশন সেন্টার,10039388,,Consultancy & Diagnostic Center,Rajshahi,Rajshahi,,Puthia,,,1
38977,Nazma Diagnostic & Doctorrs Chember,নাজমা ডায়গনষ্টিক এন্ড ডক্টরস চেম্বার,10039389,,Consultancy & Diagnostic Center,Barishal,Barguna,,Amtali,,,1
38978,Novel Genaral Hospital & Diagnostic Center,নোভেল জেনারেল হাসপাতাল এন্ডা ডায়াগনষ্টিক সেন্টার,10039390,,Consultancy & Diagnostic Center,Chattogram,Brahmanbaria,,Brahmanbaria Sadar,,,1
38979,Al falah Digital Diagnostic Center,আল ফালাহ ডিজিটাল ডায়াগনস্টিক সেন্টার,10039391,,Consultancy & Diagnostic Center,Khulna,Kushtia,,Daulatpur,,,1
38980,Jamuna  Medical Services & Diagnostic Center,যমুনা মেডিকেল  সার্ভিসেস এন্ড ডায়াগনস্টিক সেন্টার,10039392,,Consultancy & Diagnostic Center,Dhaka,Rajbari,,Rajbari Sadar,,,1
38981,M.A SONO DIAGNOSTIC CENTER & MEDICAL SERVICES,এম.এ সনো ডায়াগনস্টিক সেন্টার এন্ড মেডিকেল সার্ভিসেস,10039393,,Consultancy & Diagnostic Center,Khulna,Kushtia,,Daulatpur,,,1
38982,Sun Diagnostic Centre,সান ডায়াগনস্টিক সেন্টার,10039394,,Consultancy & Diagnostic Center,Dhaka,Madaripur,,Kalkini,,,1
38983,MEDICO GIAGNOSTIC CENTER,মেডিকো ডায়াগনষ্টিক  সেন্টার,10039395,,Consultancy & Diagnostic Center,Chattogram,Chattogram,,Raozan,,,1
38984,Bismillah Digital Diagnostic Center,বিসমিল্লাহ ডিজিটাল ডায়গনস্টিক সেন্টার,10039396,,Consultancy & Diagnostic Center,Khulna,Bagerhat,,Fakirhat,,,1
38985,FENI CARE HOSPITAL & DIAGNOSTIC CENTER,ফেনী কেয়ার হাসপাতাল এন্ড ডায়াগনস্টিক সেন্টার,10039397,,Consultancy & Diagnostic Center,Chattogram,Feni,,Feni Sadar,,,1
38986,PROBE Bangladesh Ltd (Advanced Diagnostic and Clinical Research Laboratory),প্রোব বাংলাদেশ লিমিটেড (এডভান্সড ডায়াগনস্টিক এন্ড ক্লিনিক্যাল রিসার্চ ল্যাবরেটরি),10039398,,Consultancy & Diagnostic Center,Khulna,Jashore,,Jashore Sadar,,,1
38987,Rezia Clinic & General Hospital And Diagnostic Center,রেজিয়া ক্লিনিক এন্ড জেনারেল হাসপাতাল এবং ডায়াগনষ্টিক সেন্টার,10039399,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Dohar,,,1
38988,LIFE CARE DIGITAL DIAGNOSTIC CENTER,লাইফ কেয়ার ডিজিটাল ডায়াগনষ্টিক সেন্টার,10039400,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Muradnagar,,,1
38989,Model Clinic & Diagnostic Centre,মডেল ক্লিনিক এন্ড ডায়াগনষ্টিক সেন্টার,10039401,,Consultancy & Diagnostic Center,Rajshahi,Chapainawabganj,,Shibganj,,,1
38990,The Medico Hospital,দি মেডিকো হসপিটাল,10039402,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Chauddagram,,,1
38991,Life Care Diagonostic Center,লাইফ কেয়ার ডায়াগনষ্টিক সেন্টার,10039403,,Consultancy & Diagnostic Center,Khulna,Jhenaidah,,Kotchandpur,,,1
38992,DN MEDICAL SERVICES,ডিএন মেডিকেল সার্ভিসেস,10039404,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Dohar,,,1
38993,LIFE CARE DIAGNOSTIC AND CONSULTATION CENTER,লাইফ কেয়ার ডায়াগনস্টিক এন্ড কনসালটেশন সেন্টার,10039405,,Consultancy & Diagnostic Center,Dhaka,Kishoreganj,,Tarail,,,1
38994,New Lab Aid Diagnostic Center & Hospital,নিউ ল্যাবএইড ডায়াগনস্টিক সেন্টার এন্ড হাসপাতাল,10039406,,Consultancy & Diagnostic Center,Dhaka,Shariatpur,,Bhedarganj,,,1
38995,JHARBARI DIGITAL DAYAGONESTIC CENTER,ঝাড়বাড়ী ডিজিটাল ডায়াগনষ্টিক সেন্টার,10039407,,Consultancy & Diagnostic Center,Rangpur,Dinajpur,,Dinajpur Sadar,,,1
38996,New Ideal Diagnostic Center,নিউ আইডিয়াল ডায়াগনোষ্টিক সেন্টার,10039408,,Consultancy & Diagnostic Center,Mymensingh,Sherpur,,Sherpur Sadar,,,1
38997,CLEARVIEW MEDICAL AND DIAGNOSTIC CENTER,ক্লিয়ারভিউ মেডিকেল এন্ড ডায়াগনস্টিক সেন্টার,10039409,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Paltan,,,1
38998,Safarat Digital Diagnostic Center,সাফারাত ডিজিটাল ডায়াগনস্টিক সেন্টার,10039410,,Consultancy & Diagnostic Center,Rangpur,Kurigram,,Bhurungamari,,,1
38999,MITOSIS LAB LTD,মাইটোসিস ল্যাব লিঃ,10039411,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Mirpur,,,1
39000,Siam Diagnostic Center,সিয়াম ডায়াগনষ্টিক  সেন্টার,10039412,,Consultancy & Diagnostic Center,Rajshahi,Pabna,,Ishwardi,,,1
39001,Medicare General Hospital,মেডিকেয়ার জেনারেল হাসপাতাল,10039413,,Consultancy & Diagnostic Center,Dhaka,Manikganj,,Manikganj Sadar,,,1
39002,Health Care Diagnostics Center,হেলথ কেয়ার ডায়াগনষ্টিক সেন্টার,10039414,,Consultancy & Diagnostic Center,Rajshahi,Rajshahi,,Bagha,,,1
39003,Kharka Diagnostic Center,খরকা ডায়াগনস্টিক সেন্টার,10039415,,Consultancy & Diagnostic Center,Mymensingh,Jamalpur,,Madarganj,,,1
39004,Adian Digital Diagnostic And Consultation Center,আদিয়ান ডিজিটাল ডায়ানস্টিক এন্ড কনসালটেশন সেন্টার,10039416,,Consultancy & Diagnostic Center,Rangpur,Gaibandha,,Gobindaganj,,,1
39005,Saba Haspatal And Diagnostic Center,সেবা হাসপাতাল অ্যান্ড ডায়াগনস্টিক সেন্টার,10039417,,Consultancy & Diagnostic Center,Rajshahi,Rajshahi,,Puthia,,,1
39006,HEALTH AID DIAGNOSTIC & CONSULTATION CENTER (UNIT-2),হেলথ এইড ডায়াগনস্টিক এন্ড কনসালটেশন সেন্টার (ইউনিট ২),10039418,,Consultancy & Diagnostic Center,Rajshahi,Sirajganj,,Sirajganj Sadar,,,1
39007,United Sono & Diabetes Center,ইউনাইটেড সনো এন্ড ডায়াবেটিক সেন্টার,10039419,,Consultancy & Diagnostic Center,Khulna,Kushtia,,Kushtia Sadar,,,1
39008,Asa-Shafi Medical Center,আস -শাফী মেডিকেল সেন্টার,10039420,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Mirpur,,,1
39009,TRISHAL DIAGNOSTIC & EYE CARE CENTER,ত্রিশাল ডায়াগনস্টিক  কেয়ার সেন্টার,10039421,,Consultancy & Diagnostic Center,Mymensingh,Mymensingh,,Trishal,,,1
39010,Epic Health Care Ltd. (Chattogram Medical College Purbo Gate Branch),এপিক হেলথ কেয়ার লিঃ (চট্টগ্রাম মেডিকেল কলেজ পূর্ব গেইট শাখা),10039422,,Consultancy & Diagnostic Center,Chattogram,Chattogram,,Panchlaish,,,1
39011,One Health Diagnostic & Consultation Centre,ওয়ান হেলথ ডায়াগনস্টিক  এন্ড কনসালটেশন সেন্টার,10039423,,Consultancy & Diagnostic Center,Chattogram,Chattogram,,Lohagara,,,1
39012,Rokeya specialized Diagnostic Center,রোকেয়া স্পেসালাইজড ডায়াগনস্টিক সেন্টার,10039424,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Cumilla Adarsha Sadar,,,1
39013,Ramganj Health Care Diagnostic Center,রামগঞ্জ হেলথ্ কেয়ার ডায়াগনষ্টিক সেন্টার,10039425,,Consultancy & Diagnostic Center,Chattogram,Lakshmipur,,Ramganj,,,1
39014,Surokkha  Diagnostic & Diabetic Center,সুরক্ষা ডায়াগনস্টিক এন্ড ডায়াবেটিক সেন্টার,10039426,,Consultancy & Diagnostic Center,Chattogram,Noakhali,,Sonaimuri,,,1
39015,U-Lab Medical Services,ইউল্যাব মেডিকেল সার্ভিসেস,10039427,,Consultancy & Diagnostic Center,Barishal,Barishal,,Barishal Sadar,,,1
39016,Laksam United Hospital,লাকসাম ইউনাইডেট হসপিটাল,10039428,,Consultancy & Diagnostic Center,Chattogram,Cumilla,,Laksam,,,1
39017,INTERNATIONAL HOSPITAL & DIAGNOSTIC CENTER RANGPUR,"ইন্টারন্যাশনাল হসপিটাল এন্ড ডায়াগনষ্টিক সেন্টার, রংপুর",10039429,,Consultancy & Diagnostic Center,Rangpur,Rangpur,,Rangpur Sadar,,,1
39018,Family Diagnostic Center,ফ্যামিলি ডায়াগনোষ্টিক সেন্টার,10039430,,Consultancy & Diagnostic Center,Mymensingh,Sherpur,,Sherpur Sadar,,,1
39019,Afroza Begum General Hospital,আফরোজা বেগম জেনারেল হাসপাতাল,10039431,,Consultancy & Diagnostic Center,Dhaka,Manikganj,,Manikganj Sadar,,,1
39020,SABA DIAGNOSTIC CENTER,সাবা ডায়াগনস্টিক সেন্টার,10039432,,Consultancy & Diagnostic Center,Rangpur,Thakurgaon,,Thakurgaon Sadar,,,1
39021,North Bangle Digital Diagnostic Centre,নর্থ বেঙ্গল ডিজিটাল ডায়াগনস্টিক সেন্টার,10039433,,Consultancy & Diagnostic Center,Rangpur,Gaibandha,,Gaibandha Sadar,,,1
39022,Muktijoddha clinic and Diagnostic,মুক্তিযোদ্ধা ক্লিনিক এন্ড ডায়াগনস্টিক,10039434,,Consultancy & Diagnostic Center,Rajshahi,Naogaon,,Manda,,,1
39023,New Fatema Hospital And Lab,নিউ ফাতেমা হসপিটাল এন্ড ল্যাব,10039435,,Consultancy & Diagnostic Center,Dhaka,Tangail,,Tangail Sadar,,,1
39024,MEDICARE HOSPITAL,মেডিকেয়ার হসপিটাল,10039436,,Consultancy & Diagnostic Center,Rajshahi,Chapainawabganj,,Chapainawabganj Sadar,,,1
39025,POPULAR MEDICAL AND DIAGNOSTIC CENTRE,পপুলার মেডিকেল এন্ড ডায়াগনষ্টিক সেন্টার,10039437,,Consultancy & Diagnostic Center,Khulna,Jashore,,Abhaynagar,,,1
39026,Central Hospital And Diagnostic Centre,সেন্ট্রাল হসপিটাল এন্ড ডায়াগনষ্টিক সেন্টার,10039438,,Consultancy & Diagnostic Center,Sylhet,Habiganj,,Habiganj Sadar,,,1
39027,Medigo Healthcares,মেডিগো হেলথকেয়ারস্‌,10039439,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Shahbag,,,1
39028,Nahid General Hospital And Diagnostic Centre,নাহিদ জেনারেল হাসপাতাল এন্ড ডায়াগনস্টিক সেন্টার,10039440,,Consultancy & Diagnostic Center,Rangpur,Gaibandha,,Gobindaganj,,,1
39029,RIYAN PATHOLOGYCAL LAB,রিয়ান প্যাথলজিক্যাল ল্যাব,10039441,,Consultancy & Diagnostic Center,Dhaka,Kishoreganj,,Mithamain,,,1
39030,CARE & CURE,কেয়ার এন্ড কিউর,10039442,,Consultancy & Diagnostic Center,Khulna,Chuadanga,,Chuadanga Sadar,,,1
39031,LIFE CARE HOSPITAL & DIAGNOSTIC CENTER,লাইফ কেয়ার হাসপাতাল এন্ড ডায়াগনষ্টিক সেন্টার,10039443,,Consultancy & Diagnostic Center,Rangpur,Kurigram,,Raumari,,,1
39032,Al-Amin Diagnostic Centre,আল-আমিন ডায়গনষ্টিক সেন্টার,10039444,,Consultancy & Diagnostic Center,Barishal,Barguna,,Patharghata,,,1
39033,HASSAN DIGITAL DIAGNOSTIC  CENTER,হাসান ডিজিটাল ডায়াগনষ্টিক সেন্টার,10039445,,Consultancy & Diagnostic Center,Mymensingh,Netrakona,,Netrokona Sadar,,,1
39034,Al Falah Medicom Clinic (Pvt.) (Ltd.),আল ফালাহ মেডিকম ক্লিনিক (প্রা.) ( লি.),10039446,,Consultancy & Diagnostic Center,Dhaka,Dhaka,,Banani,,,1
39035,Pragati Health Care Limited,প্রগতি হেলথ কেয়ার লিমিটেড,10039447,,Consultancy & Diagnostic Center,Rajshahi,Pabna,,Ishwardi,,,1
39036,SAYEM DIAGNO COMPLEX  & HOSPITAL,সায়েম ডায়াগনো কমপ্লেক্স এন্ড হসপিটাল,10039448,,Consultancy & Diagnostic Center,Mymensingh,Mymensingh,,Mymensingh Sadar,,,1
39037,IMMUNE HOSPITAL,ইমিউন হাসপাতাল,10039449,,Consultancy & Diagnostic Center,Mymensingh,Mymensingh,,Ishwarganj,,,1
